id,dansk_navn,slaegtsnavn,planteaar,driftsorganisation,fredet_beskyttet_trae,bydelsnavn,wkb_geometry
0,Almindelig tulipantræ,Tulipantræ,2019.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.497695080442563 55.66291744658061)
1,Paradisæble,Æble,2019.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.49773978296055 55.66292757512412)
2,Park-Lind,Lind,1923.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.538340901032846 55.664514624009215)
3,"Pyrus caucasica, ikke navngivet på dansk",Pære,2005.0,"TMF-Parker, Kirkegårde og Renhold",False,Bispebjerg,POINT (12.53807632205177 55.716314372142485)
4,"Pyrus caucasica, ikke navngivet på dansk",Pære,2005.0,"TMF-Parker, Kirkegårde og Renhold",False,Bispebjerg,POINT (12.538158242460012 55.71638332683933)
5,Kejserlind,Lind,1999.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.561857605017906 55.69796343922524)
6,Almindelig robinie,Robinie,2018.0,"TMF-Parker, Kirkegårde og Renhold",False,Nørrebro,POINT (12.539657162497107 55.69578562305445)
7,Hestekastanie,Hestekastanie,1900.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.525895543098654 55.66672611310692)
8,Park-Lind,Lind,2016.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.523902172015989 55.66462862941678)
9,Park-Lind,Lind,2016.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.523556977180052 55.66542690392587)
10,Rød-ask,Ask,2019.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.578634693403302 55.71186722624274)
11,Rød-ask,Ask,2019.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.578649520135539 55.71142756760494)
12,Rød-ask,Ask,2019.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.578657425688544 55.71126711111738)
13,Fyldtblomstret fuglekirsebær,Kirsebær/Blomme,2020.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.512502004217698 55.66326432488342)
14,Pagodetræ,Sophora,2020.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.50360688998704 55.66169448791755)
15,Park-Lind,Lind,1930.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.52408851740152 55.66400564802855)
16,Kejserlind,Lind,1999.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.561841848749461 55.69782853551547)
17,Kejserlind,Lind,1999.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.561833080826773 55.69769408277974)
18,Almindelig robinie,Robinie,2012.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.573879231154711 55.674157486309724)
19,Krimlind,Lind,2013.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.583199997533804 55.69390885543166)
20,Krimlind,Lind,2013.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.583274747837308 55.69396524176854)
21,Kejserlind,Lind,2013.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.581688620790295 55.69470713620085)
22,Kejserlind,Lind,2013.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.58176055753048 55.694757397785146)
23,Sølvløn,Løn,2014.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.567954097503504 55.69272333179224)
24,Sølvløn,Løn,2014.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.568059981202605 55.692665616996194)
25,Park-Lind,Lind,1930.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.523660514059213 55.66507082454903)
26,Park-Lind,Lind,1930.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.52372752787441 55.66524912848369)
27,Park-Lind,Lind,1930.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.523502971201717 55.66561021860251)
28,Park-Lind,Lind,1930.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.523442950725808 55.66582313139681)
29,Park-Lind,Lind,1985.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.523484774483927 55.66609817476027)
30,Almindelig robinie,Robinie,2018.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.520582371350038 55.666386449961394)
31,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.52044490105868 55.66620147785498)
32,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.52039438263276 55.66613955670321)
33,Fyldtblomstret fuglekirsebær,Kirsebær/Blomme,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.518973788425752 55.664463922396564)
34,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.519182478601131 55.6647658231126)
35,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.51944701565248 55.66510458180711)
36,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.519387373603779 55.66502937100003)
37,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.519543440826821 55.66487503060669)
38,Krimlind,Lind,1993.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.550530355230885 55.69571328168125)
39,Almindelig robinie,Robinie,2015.0,"TMF-Parker, Kirkegårde og Renhold",False,Valby,POINT (12.517258298741595 55.6644178399862)
